date,imf_code,region,cpi_index
2014-10-01,G001,world,92.561
2014-11-01,G001,world,92.497
2014-12-01,G001,world,92.594
2015-01-01,G001,world,92.722
2015-02-01,G001,world,93.236
2015-03-01,G001,world,93.606
2015-04-01,G001,world,93.909
2015-05-01,G001,world,94.17
2015-06-01,G001,world,94.329
2015-07-01,G001,world,94.519
2015-08-01,G001,world,94.704
2015-09-01,G001,world,94.863
2015-10-01,G001,world,94.992
2015-11-01,G001,world,95.042
2015-12-01,G001,world,95.173
2016-01-01,G001,world,95.41
2016-02-01,G001,world,95.801
2016-03-01,G001,world,96.023
2016-04-01,G001,world,96.325
2016-05-01,G001,world,96.59
2016-06-01,G001,world,96.818
2016-07-01,G001,world,97.011
2016-08-01,G001,world,97.133
2016-09-01,G001,world,97.434
2016-10-01,G001,world,97.671
2016-11-01,G001,world,97.802
2016-12-01,G001,world,98.037
2017-01-01,G001,world,98.6
2017-02-01,G001,world,98.899
2017-03-01,G001,world,99.115
2017-04-01,G001,world,99.462
2017-05-01,G001,world,99.627
2017-06-01,G001,world,99.747
2017-07-01,G001,world,99.952
2017-08-01,G001,world,100.314
2017-09-01,G001,world,100.682
2017-10-01,G001,world,100.947
2017-11-01,G001,world,101.195
2017-12-01,G001,world,101.461
2018-01-01,G001,world,101.886
2018-02-01,G001,world,102.348
2018-03-01,G001,world,102.394
2018-04-01,G001,world,102.709
2018-05-01,G001,world,103.038
2018-06-01,G001,world,103.388
2018-07-01,G001,world,103.723
2018-08-01,G001,world,104.198
2018-09-01,G001,world,104.719
2018-10-01,G001,world,105.185
2018-11-01,G001,world,105.081
2018-12-01,G001,world,105.054
2019-01-01,G001,world,105.193
2019-02-01,G001,world,105.719
2019-03-01,G001,world,106.098
2019-04-01,G001,world,106.634
2019-05-01,G001,world,106.94
2019-06-01,G001,world,107.054
2019-07-01,G001,world,107.425
2019-08-01,G001,world,107.786
2019-09-01,G001,world,108.14
2019-10-01,G001,world,108.693
2019-11-01,G001,world,108.973
2019-12-01,G001,world,109.324
2020-01-01,G001,world,109.997
2020-02-01,G001,world,110.306
2020-03-01,G001,world,110.145
2020-04-01,G001,world,110.01
2020-05-01,G001,world,109.921
2020-06-01,G001,world,110.306
2020-07-01,G001,world,110.722
2020-08-01,G001,world,111.252
2020-09-01,G001,world,111.565
2020-10-01,G001,world,111.978
2020-11-01,G001,world,112.082
2020-12-01,G001,world,112.42
2021-01-01,G001,world,113.215
2021-02-01,G001,world,113.783
2021-03-01,G001,world,114.21
2021-04-01,G001,world,114.697
2021-05-01,G001,world,115.219
2021-06-01,G001,world,115.644
2021-07-01,G001,world,116.23
2021-08-01,G001,world,116.635
2021-09-01,G001,world,117.137
2021-10-01,G001,world,118.17
2021-11-01,G001,world,118.911
2021-12-01,G001,world,119.483
2022-01-01,G001,world,120.508
2022-02-01,G001,world,121.535
2022-03-01,G001,world,123.236
2022-04-01,G001,world,124.521
2022-05-01,G001,world,125.39
2022-06-01,G001,world,126.526
2022-07-01,G001,world,127.263
2022-08-01,G001,world,127.711
2022-09-01,G001,world,128.44
2022-10-01,G001,world,129.408
2022-11-01,G001,world,129.722
2022-12-01,G001,world,129.924
2023-01-01,G001,world,131.122
2023-02-01,G001,world,131.806
2023-03-01,G001,world,132.446
2023-04-01,G001,world,133.16
2023-05-01,G001,world,133.536
2023-06-01,G001,world,134.07
2023-07-01,G001,world,135.078
2023-08-01,G001,world,136.012
2023-09-01,G001,world,136.602
2023-10-01,G001,world,137.144
2023-11-01,G001,world,137.419
2023-12-01,G001,world,137.988
2024-01-01,G001,world,138.801
2024-02-01,G001,world,140.086
2024-03-01,G001,world,140.593
2024-04-01,G001,world,141.294
2024-05-01,G001,world,141.754
2024-06-01,G001,world,142.203
2024-07-01,G001,world,143.081
2024-08-01,G001,world,143.605
2024-09-01,G001,world,143.966
2024-10-01,G001,world,144.628
2024-11-01,G001,world,144.815
2024-12-01,G001,world,145.18
2025-01-01,G001,world,145.717
2025-02-01,G001,world,146.209
2025-03-01,G001,world,146.779
2025-04-01,G001,world,147.369
2025-05-01,G001,world,147.709
2025-06-01,G001,world,148.123
2025-07-01,G001,world,148.815
2025-08-01,G001,world,149.179
2025-09-01,G001,world,149.602
2025-10-01,G001,world,150.211
2025-11-01,G001,world,150.332
2025-12-01,G001,world,150.641
2026-01-01,G001,world,151.135
2026-02-01,G001,world,152.165
2026-03-01,G001,world,153.161
2026-04-01,G001,world,154.211
